'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'226','SALADIX  PIZZA 100GRS','24','D:\Fotos\GOLOSINAS\SNAKS\222 225 226 227.jpg'
'227','SALADIX  DUO 80GRS','24','D:\Fotos\GOLOSINAS\SNAKS\222 225 226 227.jpg'
'230','VAINILLAS X180G MASSARINI','18','D:\Fotos\ALMACEN\GALLETITAS\230 237 238 239.jpg'
'245','BASTONES CODUL X 48U','12','D:\Fotos\FIESTAS\245 301.jpg'
'251','VAINILLAS X180G SWEET','18','D:\Fotos\ALMACEN\GALLETITAS\251.jpg'
'255','VAINILLAS LARA 480 G','8','D:\Fotos\ALMACEN\GALLETITAS\255 209.jpg'
'259','ALFAJOR SIMPLE FRUTA GUAYMALLEN 38G','40',''
'260','ALFAJOR SIMPLE BLANCO GUAYMALLEN 38G','40','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\260 261 262.jpg'
'261','ALFAJOR SIMPLE NEGRO GUAYMALLEN 38G','40','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\260 261 262.jpg'
'262','GUAYMALLEN DE ORO 48G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\260 261 262.jpg'
'263','GUAYMALLEN NEGRO TRIPLE 70G','24',''
'264','GUAYMALLEN BLANCO TRIPLE 70G','24',''
'269','FANTOCHE BLANCO TRIPLE 85G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\269 270.jpg'
'270','FANTOCHE NEGRO TRIPLE 85G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\269 270.jpg'
'280','9 DE ORO CLASICOS 200G','24','D:\Fotos\ALMACEN\GALLETITAS\280 281 282 284.jpg'
'281','9 DE ORO AGRIDULCE 200G','20','D:\Fotos\ALMACEN\GALLETITAS\280 281 282 284.jpg'
'282','9 DE ORO AZUCARADOS 200G','28','D:\Fotos\ALMACEN\GALLETITAS\280 281 282 284.jpg'
'287','PASEO CRACKERS X300G','14','D:\Fotos\ALMACEN\GALLETITAS\3332 287 288.jpg'
'288','PASEO SALVADO X300G','14','D:\Fotos\ALMACEN\GALLETITAS\3332 287 288.jpg'
'289','PAN RALLADO MAMA COCINA X500G','12',''
'290','REBOZADOR FREIR MAMA COCINA X500G','12',''
'291','REBOZADOR HORNO MAMA COCINA X500G','12',''
'292','BIZCOCHUELO MAMA COCINA VAINILLA 540G','12',''
'293','BIZCOCHUELO MAMA COCINA CHOCOLATE 540G','12',''
'294','ACEITE OLIVA BOTELLA  500CC','6',''
'295','ACEITE OLIVA LATA 500CC','6',''
'298','HARINA PUREZA 0000 KG','10','D:\Fotos\ALMACEN\HARINAS\298 299 3043.jpg'
'299','HARINA PUREZA LEUDANTE KG','10','D:\Fotos\ALMACEN\HARINAS\298 299 3043.jpg'
'300','ACEITE CAÑUELAS 900CC','12',''
'301','CORAZON DE ARROZ  CODUL 50G','12','D:\Fotos\FIESTAS\245 301.jpg'
'302','DISCO DE ARROZ  CODUL 50G','12',''
'303','CONFITES DULCE POSADA 100G SURTIDO','36',''
'313','ANANA FIZZ LA FARRUCA 750C','6','D:\Fotos\BEBIDAS\SIDRAS Y ESPUMANTES\313 318 3284.jpg'
'318','FRESA FIZZ LA FARRUCA 720C','6','D:\Fotos\BEBIDAS\SIDRAS Y ESPUMANTES\313 318 3284.jpg'
'325','LINARES SERRANO 1.5L','6','D:\Fotos\BEBIDAS\APERITIVOS\327 1013 325 329.jpg'
'327','LINARES LIMON 1,5L','6','D:\Fotos\BEBIDAS\APERITIVOS\327 1013 325 329.jpg'
'329','LINARES SERRANO LIGHT 1,5L','6','D:\Fotos\BEBIDAS\APERITIVOS\327 1013 325 329.jpg'
'330','AGUA MINERAL ASUNCION 1.5L','6','D:\Fotos\BEBIDAS\AGUAS Y SODAS\330 331 10031 334 333.jpg'
'331','AGUA MINERAL ASUNCION 5L','1','D:\Fotos\BEBIDAS\AGUAS Y SODAS\330 331 10031 334 333.jpg'
'333','SIFON ASUNCION 2L','6','D:\Fotos\BEBIDAS\AGUAS Y SODAS\330 331 10031 334 333.jpg'
'346','COCA COLA 1500 DESC','8',''
'348','RAID ESPIRALES X 12U','24','D:\Fotos\VARIOS\3506 3505 348.jpg'
'349','RAID AZUL MMM AEROSOL 360CC','12','D:\Fotos\LIMPIEZA\AEROSOLES Y LIMPAD\2660 349 2661 2659.jpg'
'350','SPEED 250CC','24','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\350 352.jpg'
'353','YERBA K PLAYADITO 1000G','5','D:\Fotos\ALMACEN\YERBAS\353 354.jpg'
'354','YERBA PLAYADITO X 500G.','10','D:\Fotos\ALMACEN\YERBAS\353 354.jpg'
'358','AZUCAR BAITY 1KG','10','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\358.jpg'
'360','IMPERIAL RUBIA LAGER LATA 473CC','6',''
'361','SANTA FE LATA 473CC','6','D:\Fotos\BEBIDAS\CERVEZAS\361.jpg'
'362','IMPERIAL GOLDEN LATA 473CC','6','D:\Fotos\BEBIDAS\CERVEZAS\1837 362 1836.jpg'
'365','PURE INSTANTANEO PAPAS LAFQUEN X 125G','15','D:\Fotos\ALMACEN\VARIOS\365.jpg'
'385','DULCE DE LECHE BAITY 400GRS','12','D:\Fotos\ALMACEN\DULCES\385.jpg'
'405','PEPAS TEREPIN X200G','24','D:\Fotos\ALMACEN\GALLETITAS\405 406.jpg'
'406','PEPAS TEREPIN X400G','14','D:\Fotos\ALMACEN\GALLETITAS\405 406.jpg'
'421','EDULCORANTE SI DIET X600ML','6','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\420 421.jpg'
'422','JUGO BAGGIO 200CC MULTIFRUTAL','18','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\422 423 424.jpg'
'423','JUGO BAGGIO 200CC DURAZNO','18','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\422 423 424.jpg'
'424','JUGO BAGGIO 200CC MANZANA','18','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\422 423 424.jpg'
'425','JUGO BAGGIO 200CC NARANJA','18','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\425 431 446.jpg'
'428','JUGO BAGGIO 1L MULTIFRUTAL','8','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\428 429 430.jpg'
'429','JUGO BAGGIO 1L DURAZNO','8','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\428 429 430.jpg'
'430','JUGO BAGGIO 1L MANZANA','8','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\428 429 430.jpg'
'431','JUGO BAGGIO 1L NARANJA','8','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\425 431 446.jpg'
'434','LECHE CHOCOLATADA BAGGIO X 200CC','18','D:\Fotos\ALMACEN\LACTEOS\435 434.jpg'
'435','LECHE CHOCOLATADA BAGGIO X 1L','8','D:\Fotos\ALMACEN\LACTEOS\435 434.jpg'
'436','PURE DE TOMATE DE LA HUERTA 210G','18','D:\Fotos\ALMACEN\TOMATES Y SALSAS\436 437 438.jpg'
'437','PURE DE TOMATE DE LA HUERTA 530G','12','D:\Fotos\ALMACEN\TOMATES Y SALSAS\436 437 438.jpg'
'438','PURE DE TOMATE DE LA HUERTA 1030G','8','D:\Fotos\ALMACEN\TOMATES Y SALSAS\436 437 438.jpg'
'440','VINO BLANCO UVITA 1L','12','D:\Fotos\BEBIDAS\VINOS\440 441 442 443.jpg'
'441','VINO BLANCO DULCE UVITA 1L','12','D:\Fotos\BEBIDAS\VINOS\440 441 442 443.jpg'
'442','VINO TINTO  UVITA 1L','12','D:\Fotos\BEBIDAS\VINOS\440 441 442 443.jpg'
'443','VINO TINTO  DULCE UVITA 1L','12','D:\Fotos\BEBIDAS\VINOS\440 441 442 443.jpg'
'449','JUGO BAGGIO MULTIFRUTAL 125CC','18','D:\Fotos\BEBIDAS\JUGOS Y GASEOSAS\447 449 450.jpg'
'466','MERMELADA DULCOR DURAZNO X500G','12','D:\Fotos\ALMACEN\DULCES\468 469 466 472 471.jpg'
'467','MERMELADA DULCOR NARANJA X500G','12','D:\Fotos\ALMACEN\DULCES\467 470 4770 4769 4768.jpg'
'468','MERMELADA DULCOR CIRUELA X500G','12','D:\Fotos\ALMACEN\DULCES\468 469 466 472 471.jpg'
'469','MERMELADA DULCOR DAMASCO X500G','12','D:\Fotos\ALMACEN\DULCES\468 469 466 472 471.jpg'
'470','MERMELADA DULCOR ZAPALLO X500G','12','D:\Fotos\ALMACEN\DULCES\467 470 4770 4769 4768.jpg'
'471','MERMELADA DULCOR HIGO X500G','12','D:\Fotos\ALMACEN\DULCES\468 469 466 472 471.jpg'
'472','MERMELADA DULCOR FRUTILLA X500G','12','D:\Fotos\ALMACEN\DULCES\468 469 466 472 471.jpg'
'474','MERM FRASCO DULCOR DURAZNO 454G','12','D:\Fotos\ALMACEN\DULCES\480 474 475 476.jpg'
'475','MERM FRASCO DULCOR ZAPALLO  454G','12','D:\Fotos\ALMACEN\DULCES\480 474 475 476.jpg'
'476','MERM FRASCO DULCOR NARANJA 454G','12','D:\Fotos\ALMACEN\DULCES\480 474 475 476.jpg'
'477','MERM FRASCO DULCOR DAMASCO 454G','12','D:\Fotos\ALMACEN\DULCES\477 478 479.jpg'
'478','MERM FRASCO DULCOR CIRUELA 454G','12','D:\Fotos\ALMACEN\DULCES\477 478 479.jpg'
'479','MERM FRASCO DULCOR FRUTILLA 454G','12','D:\Fotos\ALMACEN\DULCES\477 478 479.jpg'
'480','MERM FRASCO DULCOR HIGO 454G','12','D:\Fotos\ALMACEN\DULCES\480 474 475 476.jpg'
'486','AGUA BAGGIO FRESH PERA 1500CC','6',''
'499','GALL. SONRISAS TRIPACK FRAMBUESA 324G','12',''
'501','OBLEA OPERA 55G','56','D:\Fotos\ALMACEN\GALLETITAS\501 502.jpg'
'502','OBLEA OPERA 92G','28','D:\Fotos\ALMACEN\GALLETITAS\501 502.jpg'
'503','GALL. SONRISAS FRAMBUESA 118G','36','D:\Fotos\ALMACEN\GALLETITAS\503.jpg'
'504','GALL.MERENGADAS FRUTILLA 93G','36','D:\Fotos\ALMACEN\GALLETITAS\504.jpg'
'505','GALL. CRIOLLITAS TRIPACK 390G','22','D:\Fotos\ALMACEN\GALLETITAS\505.jpg'
'507','GALL. TRIPACK TRAVIATA 3U 110G','16','D:\Fotos\ALMACEN\GALLETITAS\507.jpg'
'508','CELOSAS 110G','30','D:\Fotos\ALMACEN\GALLETITAS\508 509 510.jpg'
'509','CELOSAS 230G','15','D:\Fotos\ALMACEN\GALLETITAS\508 509 510.jpg'
'510','CELOSAS 350G','10','D:\Fotos\ALMACEN\GALLETITAS\508 509 510.jpg'
'520','ALFAJOR NEVARES NEGRO 45G','36','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\520 521.jpg'
'521','ALFAJOR NEVARES BLANCO 40G','36','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\520 521.jpg'
'523','RAPSODIA MINI TORTA 80G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\523 543.jpg'
'526','PEPAS AIRES DE LUJAN MEMBRILLO 180G','15','D:\Fotos\ALMACEN\GALLETITAS\2063 526 529.jpg'
'527','GALL MEDALLON CHOCOLATE NEVARES 180G','15','D:\Fotos\ALMACEN\GALLETITAS\527 530 531.jpg'
'528','GALL MEDALLON DDL NEVARES 180G','15',''
'529','PASTAFROLA MEMBRILLO AIRES DE LUJAN 50G','40','D:\Fotos\ALMACEN\GALLETITAS\2063 526 529.jpg'
'531','NEVARES PALMERITAS 180G','15','D:\Fotos\ALMACEN\GALLETITAS\527 530 531.jpg'
'532','ALF FULBITO SABOR MANI 30GS','60','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\532.jpg'
'534','ALF MOGY NEGRO 38G','40','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\534 535.jpg'
'535','ALF MOGY BLANCO 38G','40','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\534 535.jpg'
'536','ALF GENIO TRIPLE NEGRO 60G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\536 537.jpg'
'537','ALF GENIO TRIPLE BLANCO 60G','24','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\536 537.jpg'
'540','ESPONJA MORTIMER CUADRICULADA','12',''
'541','TURRON DE MANI NEVARES 25G','50','D:\Fotos\GOLOSINAS\VARIOS\541.jpg'
'542','TURRON FULBITO RELLENO MOUSSE 25G','50','D:\Fotos\GOLOSINAS\VARIOS\542.jpg'
'543','PICNIC NEVARES 38GR','40','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\523 543.jpg'
'544','BOMBON SMACK CHOCOLATE 30U','6',''
